,pmid,author,year,title,journal,citedByNof1000
3299,14634645,Hommel,2004,Local gene knockdown in the brain using viral-mediated RNA interference.,Nature medicine,4.0
2932,11606786,Hikida,2001,Increased sensitivity to cocaine by cholinergic cell ablation in nucleus accumbens.,Proceedings of the National Academy of Sciences of the United States of America,4.0
3080,23267662,Schultz,2013,Updating dopamine reward signals.,Current opinion in neurobiology,4.0
3074,15464136,Carelli,2004,Nucleus accumbens cell firing and rapid dopamine signaling during goal-directed behaviors in rats.,Neuropharmacology,4.0
3218,17031710,Barbano,2007,Opioids for hedonic experience and dopamine to get ready for it.,Psychopharmacology,4.0
1212,9712637,Mermelstein,1998,Inwardly rectifying potassium (IRK) currents are correlated with IRK subunit expression in rat nucleus accumbens medium spiny neurons.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
3063,16443285,Cragg,2006,Meaningful silences: how dopamine listens to the ACh pause.,Trends in neurosciences,4.0
1215,8019704,Di Paolo,1994,Modulation of brain dopamine transmission by sex steroids.,Reviews in the neurosciences,4.0
1219,23575859,Rogge,2013,HDAC3 is a negative regulator of cocaine-context-associated memory formation.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
1220,23525042,Vogel-Ciernia,2013,The neuron-specific chromatin regulatory subunit BAF53b is necessary for synaptic plasticity and memory.,Nature neuroscience,4.0
1414,17105338,Lüscher,2007,The mechanistic classification of addictive drugs.,PLoS medicine,4.0
1412,18784289,Argilli,2008,Mechanism and time course of cocaine-induced long-term potentiation in the ventral tegmental area.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
1227,11996312,Setlow,2002,Disconnection of the basolateral amygdala complex and nucleus accumbens impairs appetitive pavlovian second-order conditioned responses.,Behavioral neuroscience,4.0
3315,28123032,Caprioli,2017,Role of Dorsomedial Striatum Neuronal Ensembles in Incubation of Methamphetamine Craving after Voluntary Abstinence.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
1229,11328886,Pfaffl,2002,A new mathematical model for relative quantification in real-time RT-PCR.,Nucleic acids research,4.0
3308,2337793,Brodie,1990,Ethanol increases the firing rate of dopamine neurons of the rat ventral tegmental area in vitro.,Brain research,4.0
3043,19457367,Wacker,2009,"The role of the nucleus accumbens and rostral anterior cingulate cortex in anhedonia: integration of resting EEG, fMRI, and volumetric techniques.",NeuroImage,4.0
1403,24973197,Negus,2015,Intracranial self-stimulation to evaluate abuse potential of drugs.,Pharmacological reviews,4.0
2925,3317472,Wise,1988,A psychomotor stimulant theory of addiction.,Psychological review,4.0
3261,18635399,Renthal,2008,Epigenetic mechanisms in drug addiction.,Trends in molecular medicine,4.0
2926,2893431,Wise,1988,Brain mechanisms of drug reward and euphoria.,Psychiatric medicine,4.0
1243,21796121,Yizhar,2011,Neocortical excitation/inhibition balance in information processing and social dysfunction.,Nature,4.0
1246,20023653,Madisen,2010,A robust and high-throughput Cre reporting and characterization system for the whole mouse brain.,Nature neuroscience,4.0
4203,25260700,Anders,2015,HTSeq--a Python framework to work with high-throughput sequencing data.,"Bioinformatics (Oxford, England)",4.0
1391,27822508,MacLaren,2017,Clozapine N-Oxide Administration Produces Behavioral Effects in Long-Evans Rats: Implications for Designing DREADD Experiments.,eNeuro,4.0
3304,19364532,Daunais,2010,MRI-guided dissection of the nonhuman primate brain: a case study.,"Methods (San Diego, Calif.)",4.0
3027,25596492,Ortinski,2015,Cocaine-seeking is associated with PKC-dependent reduction of excitatory signaling in accumbens shell D2 dopamine receptor-expressing neurons.,Neuropharmacology,4.0
3733,23554493,Tukey,2013,Sucrose ingestion induces rapid AMPA receptor trafficking.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
2671,20089902,Loweth,2010,Transient overexpression of alpha-Ca2+/calmodulin-dependent protein kinase II in the nucleus accumbens shell enhances behavioral responding to amphetamine.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
2811,23100428,Hnasko,2013,Ventral tegmental area glutamate neurons: electrophysiological properties and projections.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
1946,26733783,Morrison,2016,"Sign Tracking, but Not Goal Tracking, is Resistant to Outcome Devaluation.",Frontiers in neuroscience,4.0
2324,22522908,Sinkala,2012,Electrode calibration with a microfluidic flow cell for fast-scan cyclic voltammetry.,Lab on a chip,4.0
1889,23175840,St Onge,2013,Dynamic fluctuations in dopamine efflux in the prefrontal cortex and nucleus accumbens during risk-based decision making.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
3620,10594666,Bassareo,2000,Modulation of feeding-induced activation of mesolimbic dopamine transmission by appetitive stimuli and its relation to motivational state.,The European journal of neuroscience,4.0
3624,19560604,Rehm,2009,Global burden of disease and injury and economic cost attributable to alcohol use and alcohol-use disorders.,"Lancet (London, England)",4.0
2299,10771025,Di Chiara,2000,Role of dopamine in the behavioural actions of nicotine related to addiction.,European journal of pharmacology,4.0
1897,9512057,Sokolowski,1998,The role of accumbens dopamine in lever pressing and response allocation: effects of 6-OHDA injected into core and dorsomedial shell.,"Pharmacology, biochemistry, and behavior",4.0
3642,24904339,Cachope,2014,Local control of striatal dopamine release.,Frontiers in behavioral neuroscience,4.0
3644,21544206,Higley,2011,Cholinergic interneurons mediate fast VGluT3-dependent glutamatergic transmission in the striatum.,PloS one,4.0
1901,25787124,Uys,2017,Chronic intermittent ethanol exposure and withdrawal leads to adaptations in nucleus accumbens core postsynaptic density proteome and dendritic spines.,Addiction biology,4.0
3645,18987203,Joshua,2008,Midbrain dopaminergic neurons and striatal cholinergic interneurons encode the difference between reward and aversive events at different epochs of probabilistic classical conditioning trials.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
3648,11596051,Jones,2001,Presynaptic localisation of the nicotinic acetylcholine receptor beta2 subunit immunoreactivity in rat nigrostriatal dopaminergic neurones.,The Journal of comparative neurology,4.0
1911,12700699,Li,2003,The location of persistent amphetamine-induced changes in the density of dendritic spines on medium spiny neurons in the nucleus accumbens and caudate-putamen.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,4.0
3816,21653866,St Onge,2011,Dissociable contributions by prefrontal D1 and D2 receptors to risk-based decision making.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
2261,23100412,Trezza,2013,Endocannabinoids in amygdala and nucleus accumbens mediate social play reward in adolescent rats.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
2252,1573406,Mark,1992,"Effects of feeding and drinking on acetylcholine release in the nucleus accumbens, striatum, and hippocampus of freely behaving rats.",Journal of neurochemistry,4.0
2246,5636851,Brown,1968,Auto-shaping of the pigeon's key-peck.,Journal of the experimental analysis of behavior,4.0
2244,7070669,Kelley,1982,The amygdalostriatal projection in the rat--an anatomical study by anterograde and retrograde tracing methods.,Neuroscience,4.0
2243,7508582,Kalivas,1994,GABA and enkephalin projection from the nucleus accumbens and ventral pallidum to the ventral tegmental area.,Neuroscience,4.0
2239,7895034,Pulvirenti,1995,Modulation of locomotor activity by NMDA receptors in the nucleus accumbens core and shell regions of the rat.,Brain research,4.0
1931,16554471,Venton,2006,Cocaine increases dopamine release by mobilization of a synapsin-dependent reserve pool.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
3807,22171047,Huang,2012,Searching for presynaptic NMDA receptors in the nucleus accumbens.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
1940,25925480,Namburi,2015,A circuit mechanism for differentiating positive and negative associations.,Nature,4.0
2233,8627379,Peoples,1996,Phasic firing of single neurons in the rat nucleus accumbens correlated with the timing of intravenous cocaine self-administration.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
1886,19200535,Singer,2009,Amphetamine-induced changes in dendritic morphology in rat forebrain correspond to associative drug conditioning rather than nonassociative drug sensitization.,Biological psychiatry,4.0
2328,21764750,Luo,2011,Linking context with reward: a functional circuit from hippocampal CA3 to ventral tegmental area.,"Science (New York, N.Y.)",4.0
1874,12832502,Hoffman,2003,Functional tolerance and blockade of long-term depression at synapses in the nucleus accumbens after chronic cannabinoid exposure.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
1829,12473091,Robbe,2003,Metabotropic glutamate receptor 2/3-dependent long-term depression in the nucleus accumbens is blocked in morphine withdrawn mice.,The European journal of neuroscience,4.0
1805,17805308,Kalivas,2008,Drug addiction as a pathology of staged neuroplasticity.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,4.0
3577,11458536,Becker,2001,Gender differences in the behavioral responses to cocaine and amphetamine. Implications for mechanisms mediating gender differences in drug abuse.,Annals of the New York Academy of Sciences,4.0
1806,17719565,Zhou,2008,N-acetylcysteine reduces extinction responding and induces enduring reductions in cue- and heroin-induced drug-seeking.,Biological psychiatry,4.0
2409,21182898,Ferrario,2011,Distribution of AMPA receptor subunits and TARPs in synaptic and extrasynaptic membranes of the adult rat nucleus accumbens.,Neuroscience letters,4.0
2408,22086977,Turrigiano,2012,Homeostatic synaptic plasticity: local and global mechanisms for stabilizing neuronal function.,Cold Spring Harbor perspectives in biology,4.0
1809,17275103,Liu,2007,Ca2+-permeable AMPA receptors in synaptic plasticity and neuronal death.,Trends in neurosciences,4.0
2407,22347846,Lee,2012,Ca-permeable AMPA receptors in homeostatic synaptic plasticity.,Frontiers in molecular neuroscience,4.0
2404,24958329,Dong,2014,The neural rejuvenation hypothesis of cocaine addiction.,Trends in pharmacological sciences,4.0
2400,18023617,Hoebel,2008,Accumbens dopamine-acetylcholine balance in approach and avoidance.,Current opinion in pharmacology,4.0
1827,12787079,Lu,2003,Molecular neuroadaptations in the accumbens and ventral tegmental area during the first 90 days of forced abstinence from cocaine self-administration in rats.,Journal of neurochemistry,4.0
3595,15555492,Festa,2005,Gonadal hormones provide the biological basis for sex differences in behavioral responses to cocaine.,Hormones and behavior,4.0
3616,15970218,Gal,2006,Latent inhibition is disrupted by nucleus accumbens shell lesion but is abnormally persistent following entire nucleus accumbens lesion: The neural site controlling the expression and disruption of the stimulus preexposure effect.,Behavioural brain research,4.0
2375,25887240,Thompson,2016,An excitatory synapse hypothesis of depression.,Trends in neurosciences,4.0
3851,25220811,Stopper,2015,Overriding phasic dopamine signals redirects action selection during risk/reward decision making.,Neuron,4.0
3609,24559678,Chuhma,2014,Dopamine neurons control striatal cholinergic neurons via regionally heterogeneous dopamine and glutamate signaling.,Neuron,4.0
2350,7996208,Carelli,1995,A comparison of nucleus accumbens neuronal firing patterns during cocaine self-administration and water reinforcement in rats.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
3848,21109477,Volkow,2011,"Reward, dopamine and the control of food intake: implications for obesity.",Trends in cognitive sciences,4.0
1845,26889809,Roth,2016,DREADDs for Neuroscientists.,Neuron,4.0
3844,19110006,Floresco,2009,Neural circuits subserving behavioral flexibility and their relevance to schizophrenia.,Behavioural brain research,4.0
3614,17600522,Schultz,2007,Multiple dopamine functions at different time courses.,Annual review of neuroscience,4.0
3615,16917821,Kawano,2006,Particular subpopulations of midbrain and hypothalamic dopamine neurons express vesicular glutamate transporter 2 in the rat brain.,The Journal of comparative neurology,4.0
1863,19176610,Gruber,2009,Cortically activated interneurons shape spatial aspects of cortico-accumbens processing.,Journal of neurophysiology,4.0
2224,9221769,Nicola,1997,Dopamine depresses excitatory and inhibitory synaptic transmission by distinct mechanisms in the nucleus accumbens.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
3678,22738383,Lebron-Milad,2012,"Sex differences, gonadal hormones and the fear extinction network: implications for anxiety disorders.",Biology of mood & anxiety disorders,4.0
2421,15255976,Mangiavacchi,2004,"Stimulation of N-methyl-D-aspartate receptors, AMPA receptors or metabotropic glutamate receptors leads to rapid internalization of AMPA receptors in cultured nucleus accumbens neurons.",The European journal of neuroscience,4.0
1952,17031711,Niv,2007,Tonic dopamine: opportunity costs and the control of response vigor.,Psychopharmacology,4.0
2036,25716852,Larson,2015,Optogenetic stimulation of accumbens shell or shell projections to lateral hypothalamus produce differential effects on the motivation for cocaine.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
2038,25326689,Smith,2015,Synaptic plasticity mediating cocaine relapse requires matrix metalloproteinases.,Nature neuroscience,4.0
2170,15306650,Di Ciano,2005,Direct interactions between the basolateral amygdala and nucleus accumbens core underlie cocaine-seeking behavior by rats.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
2169,15310907,Vanderschuren,2004,Drug seeking becomes compulsive after prolonged cocaine self-administration.,"Science (New York, N.Y.)",4.0
2166,15564590,Bossert,2005,A role of ventral tegmental area glutamate in contextual cue-induced relapse to heroin seeking.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
2163,15931079,Bossert,2005,The novel mGluR2/3 agonist LY379268 attenuates cue-induced reinstatement of heroin seeking.,Neuroreport,4.0
2042,24671996,Dautan,2014,A major external source of cholinergic innervation of the striatum and nucleus accumbens originates in the brainstem.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
2162,16034441,Zapata,2006,Repeated ethanol intoxication induces behavioral sensitization in the absence of a sensitized accumbens dopamine response in C57BL/6J and DBA/2J mice.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,4.0
2160,16233956,Karasawa,2006,"A metabotropic glutamate 2/3 receptor antagonist, MGS0039, increases extracellular dopamine levels in the nucleus accumbens shell.",Neuroscience letters,4.0
2045,24467847,Lum,2014,mGluR1 within the nucleus accumbens regulates alcohol intake in mice under limited-access conditions.,Neuropharmacology,4.0
2154,16703399,Peters,2006,"The group II metabotropic glutamate receptor agonist, LY379268, inhibits both cocaine- and food-seeking behavior in rats.",Psychopharmacology,4.0
2144,17986709,Dennis,2008,An eight-year perspective on the relationship between the duration of abstinence and other aspects of recovery.,Evaluation review,4.0
2054,23995583,Parsegian,2014,Dysregulation of dopamine and glutamate release in the prefrontal cortex and nucleus accumbens following methamphetamine self-administration and during reinstatement in rats.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,4.0
2057,23966687,Stefanik,2013,"Optogenetic evidence that pallidal projections, not nigral projections, from the nucleus accumbens core are necessary for reinstating cocaine seeking.",The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
2138,18486119,Ping,2008,Contributions of nucleus accumbens core and shell GluR1 containing AMPA receptors in AMPA- and cocaine-primed reinstatement of cocaine-seeking behavior.,Brain research,4.0
3739,19217372,Kessels,2009,Synaptic AMPA receptor plasticity and behavior.,Neuron,4.0
3737,21338878,Kenny,2011,Reward mechanisms in obesity: new insights and future directions.,Neuron,4.0
2112,20180839,Rocha,2010,Role of the prefrontal cortex and nucleus accumbens in reinstating methamphetamine seeking.,The European journal of neuroscience,4.0
2086,22321070,LaLumiere,2012,Neural circuit competition in cocaine-seeking: roles of the infralimbic cortex and nucleus accumbens shell.,The European journal of neuroscience,4.0
3735,22356698,Cameron,2012,Cocaine abstinence alters nucleus accumbens firing dynamics during goal-directed behaviors for cocaine and sucrose.,The European journal of neuroscience,4.0
3734,23354537,Zheng,2013,"Effects of time of feeding on psychostimulant reward, conditioned place preference, metabolic hormone levels, and nucleus accumbens biochemical measures in food-restricted rats.",Psychopharmacology,4.0
3730,2303856,Wilson,1990,Firing patterns and synaptic potentials of identified giant aspiny interneurons in the rat neostriatum.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
3731,24535653,Peng,2015,Involvement of nucleus accumbens AMPA receptor trafficking in augmentation of D- amphetamine reward in food-restricted rats.,Psychopharmacology,4.0
3756,12049934,Barry,2002,Receptor trafficking and the plasticity of excitatory synapses.,Current opinion in neurobiology,4.0
2172,14973230,McFarland,2004,Limbic and motor circuitry underlying footshock-induced reinstatement of cocaine-seeking behavior.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
2034,25861699,Caprioli,2016,Effect of the Novel Positive Allosteric Modulator of Metabotropic Glutamate Receptor 2 AZD8529 on Incubation of Methamphetamine Craving After Prolonged Voluntary Abstinence in a Rat Model.,Biological psychiatry,4.0
1992,11573015,Blood,2001,Intensely pleasurable responses to music correlate with activity in brain regions implicated in reward and emotion.,Proceedings of the National Academy of Sciences of the United States of America,4.0
1953,16641388,Wan,2006,Firing patterns of accumbal neurons during a pavlovian-conditioned approach task.,Journal of neurophysiology,4.0
3680,18441260,Westwood,2008,The female rat reproductive cycle: a practical histological guide to staging.,Toxicologic pathology,4.0
2217,9614234,Sulzer,1998,Dopamine neurons make glutamatergic synapses in vitro.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
1965,12721372,Hikida,2003,Acetylcholine enhancement in the nucleus accumbens prevents addictive behaviors of cocaine and morphine.,Proceedings of the National Academy of Sciences of the United States of America,4.0
3795,15924857,Lisman,2005,The hippocampal-VTA loop: controlling the entry of information into long-term memory.,Neuron,4.0
1968,24735820,Yetnikoff,2018,An update on the connections of the ventral mesencephalic dopaminergic complex.,Neuroscience,4.0
3786,12827641,Boileau,2003,Alcohol promotes dopamine release in the human nucleus accumbens.,"Synapse (New York, N.Y.)",4.0
1982,23375169,Berridge,2014,Neuroscience of affect: brain mechanisms of pleasure and displeasure.,Current opinion in neurobiology,4.0
1985,21217764,Salimpoor,2011,Anatomically distinct dopamine release during anticipation and experience of peak emotion to music.,Nature neuroscience,4.0
3780,17291784,Wrase,2007,Dysfunction of reward processing correlates with alcohol craving in detoxified alcoholics.,NeuroImage,4.0
3776,22238334,Mitchell,2012,Alcohol consumption induces endogenous opioid release in the human orbitofrontal cortex and nucleus accumbens.,Science translational medicine,4.0
2177,13714876,HODOS,1998,Progressive ratio as a measure of reward strength.,"Science (New York, N.Y.)",4.0
3684,8245220,Woolley,1993,Roles of estradiol and progesterone in regulation of hippocampal dendritic spine density during the estrous cycle in the rat.,The Journal of comparative neurology,4.0
1997,21338616,Nealey,2012,κ-opioid receptors are implicated in the increased potency of intra-accumbens nalmefene in ethanol-dependent rats.,Neuropharmacology,4.0
1999,20401607,Bruchas,2010,Kinase cascades and ligand-directed signaling at the kappa opioid receptor.,Psychopharmacology,4.0
2192,11830186,See,2002,Neural substrates of conditioned-cued relapse to drug-seeking behavior.,"Pharmacology, biochemistry, and behavior",4.0
2010,24744379,Friedman,2014,Enhancing depression mechanisms in midbrain dopamine neurons achieves homeostatic resilience.,"Science (New York, N.Y.)",4.0
2190,11895178,Crombag,2002,Renewal of drug seeking by contextual cues after prolonged extinction in rats.,Behavioral neuroscience,4.0
2016,18614688,Faure,2008,Mesolimbic dopamine in desire and dread: enabling motivation to be generated by localized glutamate disruptions in nucleus accumbens.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
2017,18272187,Schotanus,2008,Dopamine D1 receptors and group I metabotropic glutamate receptors contribute to the induction of long-term potentiation in the nucleus accumbens.,Neuropharmacology,4.0
3696,25761571,Robinson,2016,Individual Differences in Cue-Induced Motivation and Striatal Systems in Rats Susceptible to Diet-Induced Obesity.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,4.0
2179,12927219,Berlanga,2003,Cholinergic interneurons of the nucleus accumbens and dorsal striatum are activated by the self-administration of cocaine.,Neuroscience,4.0
2419,16272153,Oh,2006,Extrasynaptic membrane trafficking regulated by GluR1 serine 845 phosphorylation primes AMPA receptors for long-term potentiation.,The Journal of biological chemistry,4.0
1,28548226,Xia,2018,Multimodal connectivity-based parcellation reveals a shell-core dichotomy of the human nucleus accumbens.,Human brain mapping,4.0
2806,27468917,McCall,2018,Selective Ablation of GIRK Channels in Dopamine Neurons Alters Behavioral Effects of Cocaine in Mice.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,4.0
2662,27357796,Golden,2016,Basal forebrain projections to the lateral habenula modulate aggression reward.,Nature,4.0
1549,22261383,Cacciapaglia,2012,Differential dopamine release dynamics in the nucleus accumbens core and shell track distinct aspects of goal-directed behavior for sucrose.,Neuropharmacology,4.0
2742,20167474,Kehagia,2010,Learning and cognitive flexibility: frontostriatal function and monoaminergic modulation.,Current opinion in neurobiology,4.0
1554,18667156,Chen,2008,Cocaine but not natural reward self-administration nor passive cocaine infusion produces persistent LTP in the VTA.,Neuron,4.0
3402,24269937,Benzon,2014,Neuromedin U receptor 2 knockdown in the paraventricular nucleus modifies behavioral responses to obesogenic high-fat food and leads to increased body weight.,Neuroscience,4.0
1570,23441210,Knight,2013,Nucleus accumbens deep brain stimulation results in insula and prefrontal activation: a large animal FMRI study.,PloS one,4.0
1571,23434914,Figee,2013,Deep brain stimulation restores frontostriatal network activity in obsessive-compulsive disorder.,Nature neuroscience,4.0
2719,19251249,LaPlant,2009,Role of nuclear factor kappaB in ovarian hormone-mediated stress hypersensitivity in female mice.,Biological psychiatry,4.0
2717,24623766,Vialou,2014,Prefrontal cortical circuit for depression- and anxiety-related behaviors mediated by cholecystokinin: role of ΔFosB.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
4127,23711983,Trifilieff,2014,Increasing dopamine D2 receptor expression in the adult nucleus accumbens enhances motivation.,Molecular psychiatry,4.0
4126,27976722,Yoo,2018,Ventral tegmental area glutamate neurons co-release GABA and promote positive reinforcement.,Nature communications,4.0
1590,8812068,Cox,1996,AFNI: software for analysis and visualization of functional magnetic resonance neuroimages.,"Computers and biomedical research, an international journal",4.0
3415,21182572,Chefer,2011,Repeated exposure to moderate doses of ethanol augments hippocampal glutamate neurotransmission by increasing release.,Addiction biology,4.0
2693,24227722,Medvedev,2014,D1 dopamine receptor coupling to PLCβ regulates forward locomotion in mice.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
3425,10875899,Knutson,2000,FMRI visualization of brain activity during a monetary incentive delay task.,NeuroImage,4.0
1607,2648975,Wise,1989,Brain dopamine and reward.,Annual review of psychology,4.0
3427,23248274,Hikida,2013,Pathway-specific modulation of nucleus accumbens in reward and aversive behavior via selective transmitter receptors.,Proceedings of the National Academy of Sciences of the United States of America,4.0
1613,19114008,Langfelder,2009,WGCNA: an R package for weighted correlation network analysis.,BMC bioinformatics,4.0
2674,17561814,Carle,2007,Proteasome-dependent and -independent mechanisms for FosB destabilization: identification of FosB degron domains and implications for DeltaFosB stability.,The European journal of neuroscience,4.0
1623,18657553,Vezina,2009,Conditioned cues and the expression of stimulant sensitization in animals and humans.,Neuropharmacology,4.0
1635,10541725,Souza-Formigoni,1999,Sensitization to ethanol's stimulant effect is associated with region-specific increases in brain D2 receptor binding.,Psychopharmacology,4.0
4091,22074687,Zheng,2012,"Food restriction increases acquisition, persistence and drug prime-induced expression of a cocaine-conditioned place preference in rats.","Pharmacology, biochemistry, and behavior",4.0
4085,17241272,Yamaguchi,2007,Glutamatergic neurons are present in the rat ventral tegmental area.,The European journal of neuroscience,4.0
1651,26733685,Virk,2016,Opposing roles for serotonin in cholinergic neurons of the ventral and dorsal striatum.,Proceedings of the National Academy of Sciences of the United States of America,4.0
2743,18163034,Groenewegen,2008,The ventral striatum as an interface between the limbic and motor systems.,CNS spectrums,4.0
2755,17898221,Winstanley,2007,DeltaFosB induction in orbitofrontal cortex mediates tolerance to cocaine-induced cognitive dysfunction.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
1544,24114427,Counotte,2015,Time-dependent decreases in nucleus accumbens AMPA/NMDA ratio and incubation of sucrose craving in adolescent and adult rats.,Psychopharmacology,4.0
1512,21389985,Tye,2011,Amygdala circuitry mediating reversible and bidirectional control of anxiety.,Nature,4.0
1480,18490925,Greenberg,2010,Deep brain stimulation of the ventral internal capsule/ventral striatum for obsessive-compulsive disorder: worldwide experience.,Molecular psychiatry,4.0
1482,16899732,Haber,2006,"Reward-related cortical inputs define a large striatal region in primates that interface with associative cortical connections, providing a substrate for incentive-based learning.",The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
1483,16530430,Desikan,2006,An automated labeling system for subdividing the human cerebral cortex on MRI scans into gyral based regions of interest.,NeuroImage,4.0
2800,24687412,Alhaddad,2015,Effects of ceftriaxone on ethanol intake: a possible role for xCT and GLT-1 isoforms modulation of glutamate levels in P rats.,Psychopharmacology,4.0
2799,2710338,Carboni,1989,"Amphetamine, cocaine, phencyclidine and nomifensine increase extracellular dopamine concentrations preferentially in the nucleus accumbens of freely moving rats.",Neuroscience,4.0
2797,16111831,Hirose,2005,"Interactions among mu- and delta-opioid receptors, especially putative delta1- and delta2-opioid receptors, promote dopamine release in the nucleus accumbens.",Neuroscience,4.0
2789,8725965,Robbins,1996,Neurobehavioural mechanisms of reward and motivation.,Current opinion in neurobiology,4.0
1507,9030646,Floresco,1997,"Selective roles for hippocampal, prefrontal cortical, and ventral striatal circuits in radial-arm maze tasks with or without a delay.",The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
3375,11931738,Nestler,2002,Neurobiology of depression.,Neuron,4.0
4162,21957248,Cacciapaglia,2011,Rapid dopamine signaling differentially modulates distinct microcircuits within the nucleus accumbens during sucrose-directed behavior.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
1516,17360345,Armbruster,2007,Evolving the lock to fit the key to create a family of G protein-coupled receptors potently activated by an inert ligand.,Proceedings of the National Academy of Sciences of the United States of America,4.0
2761,7990513,Chaplan,1995,Quantitative assessment of tactile allodynia in the rat paw.,Journal of neuroscience methods,4.0
3376,11164755,Drevets,2001,Amphetamine-induced dopamine release in human ventral striatum correlates with euphoria.,Biological psychiatry,4.0
4154,19349975,Mao,2009,Stability of surface NMDA receptors controls synaptic and behavioral adaptations to amphetamine.,Nature neuroscience,4.0
1523,25529632,Moorman,2016,Differential roles of medial prefrontal subregions in the regulation of drug seeking.,Brain research,4.0
3378,25662840,Padula,2016,KCNN Genes that Encode Small-Conductance Ca2+-Activated K+ Channels Influence Alcohol and Drug Addiction.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,4.0
2775,11549226,Braff,2002,"Human studies of prepulse inhibition of startle: normal subjects, patient groups, and pharmacological studies.",Psychopharmacology,4.0
3382,24475032,Cadet,2014,Enhanced upregulation of CRH mRNA expression in the nucleus accumbens of male rats after a second injection of methamphetamine given thirty days later.,PloS one,4.0
2765,18358676,Yoneyama,2008,Voluntary ethanol consumption in 22 inbred mouse strains.,"Alcohol (Fayetteville, N.Y.)",4.0
4149,14973246,Lu,2004,A single infusion of brain-derived neurotrophic factor into the ventral tegmental area induces long-lasting potentiation of cocaine seeking after withdrawal.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
4148,15657599,Lu,2005,Central amygdala ERK signaling pathway is critical to incubation of cocaine craving.,Nature neuroscience,4.0
1539,26598422,Gao,2018,Stable immediate early gene expression patterns in medial prefrontal cortex and striatum after long-term cocaine self-administration.,Addiction biology,4.0
1652,25907747,Ikemoto,2016,"Basal ganglia circuit loops, dopamine and motivation: A review and enquiry.",Behavioural brain research,4.0
1653,25319571,Huang,2016,Cocaine Withdrawal Impairs mGluR5-Dependent Long-Term Depression in Nucleus Accumbens Shell Neurons of Both Direct and Indirect Pathways.,Molecular neurobiology,4.0
1803,18061358,Rogers,2008,The neural circuitry underlying reinstatement of heroin-seeking behavior in an animal model of relapse.,Neuroscience,4.0
1654,24903651,Bull,2015,Rat nucleus accumbens core astrocytes modulate reward and the motivation to self-administer ethanol after abstinence.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,4.0
1747,19799712,Xu,2010,Glycogen synthase kinase 3beta in the nucleus accumbens core mediates cocaine-induced behavioral sensitization.,Journal of neurochemistry,4.0
1749,19328817,Miller,2009,Cocaine-induced hyperactivity and sensitization are dependent on GSK3.,Neuropharmacology,4.0
2539,25057203,Jian,2014,eIF2α dephosphorylation in basolateral amygdala mediates reconsolidation of drug memory.,The Journal of neuroscience : the official journal of the Society for Neuroscience,4.0
1759,26706696,LaCrosse,2016,Ceftriaxone attenuates cocaine relapse after abstinence through modulation of nucleus accumbens AMPA subunit expression.,European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,4.0
